codigo,nombre,carrera_codigo,ciclo,creditos,horas_teoricas,horas_practicas,pre_requisitos,tipo,activo
CC101,Introducción a la Computación,ING-INF,I,3,2,2,,OBLIGATORIO,SI
MA101,Matemática Básica,ING-INF,I,4,4,0,,OBLIGATORIO,SI
FI101,Física I,ING-INF,I,4,4,0,,OBLIGATORIO,SI
QU101,Química General,ING-INF,I,4,4,0,,OBLIGATORIO,SI
LE101,Comunicación I,ING-INF,I,3,3,0,,OBLIGATORIO,SI

CC102,Algoritmos y Estructuras de Datos,ING-INF,II,4,3,2,CC101,OBLIGATORIO,SI
MA102,Cálculo Diferencial,ING-INF,II,4,4,0,MA101,OBLIGATORIO,SI
FI102,Física II,ING-INF,II,4,4,0,FI101,OBLIGATORIO,SI
LE102,Comunicación II,ING-INF,II,3,3,0,LE101,OBLIGATORIO,SI
IN101,Inglés Técnico I,ING-INF,II,3,3,0,,OBLIGATORIO,SI

CC201,Programación I,ING-INF,III,5,4,2,CC102,OBLIGATORIO,SI
MA201,Álgebra Lineal,ING-INF,III,4,4,0,MA102,OBLIGATORIO,SI
MA202,Cálculo Integral,ING-INF,III,4,4,0,MA102,OBLIGATORIO,SI
FI201,Electricidad y Magnetismo,ING-INF,III,4,4,0,FI102,OBLIGATORIO,SI
IN102,Inglés Técnico II,ING-INF,III,3,3,0,IN101,OBLIGATORIO,SI

CC202,Programación II,ING-INF,IV,5,4,2,CC201,OBLIGATORIO,SI
CC203,Base de Datos I,ING-INF,IV,4,3,2,CC201,OBLIGATORIO,SI
MA203,Ecuaciones Diferenciales,ING-INF,IV,4,4,0,MA202,OBLIGATORIO,SI
MA204,Estadística y Probabilidades,ING-INF,IV,4,4,0,MA202,OBLIGATORIO,SI
FI202,Ondas y Física Moderna,ING-INF,IV,4,4,0,FI201,OBLIGATORIO,SI

CC301,Estructura de Datos,ING-INF,V,5,4,2,CC202,OBLIGATORIO,SI
CC302,Base de Datos II,ING-INF,V,5,4,2,CC203,OBLIGATORIO,SI
CC303,Arquitectura de Computadoras,ING-INF,V,4,3,2,CC201,OBLIGATORIO,SI
MA301,Matemática Discreta,ING-INF,V,4,4,0,MA201,OBLIGATORIO,SI
IN201,Inglés Técnico III,ING-INF,V,3,3,0,IN102,OBLIGATORIO,SI

CC304,Análisis y Diseño de Algoritmos,ING-INF,VI,5,4,2,CC301,OBLIGATORIO,SI
CC305,Ingeniería de Software I,ING-INF,VI,4,3,2,CC302,OBLIGATORIO,SI
CC306,Redes de Computadoras I,ING-INF,VI,4,3,2,CC303,OBLIGATORIO,SI
CC307,Sistemas Operativos,ING-INF,VI,4,3,2,CC303,OBLIGATORIO,SI
IN202,Inglés Técnico IV,ING-INF,VI,3,3,0,IN201,OBLIGATORIO,SI

CC401,Inteligencia Artificial,ING-INF,VII,5,4,2,CC304,OBLIGATORIO,SI
CC402,Ingeniería de Software II,ING-INF,VII,5,4,2,CC305,OBLIGATORIO,SI
CC403,Redes de Computadoras II,ING-INF,VII,4,3,2,CC306,OBLIGATORIO,SI
CC404,Compiladores,ING-INF,VII,4,3,2,CC304,OBLIGATORIO,SI
